id,adult,budget,genres,original_language,original_title,popularity,release_date,revenue,vote_count,vote_average
862,False,30000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,Toy Story,21.946943,1995-10-30,373554033.0,5415.0,7.7
8844,False,65000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,Jumanji,17.015539,1995-12-15,262797249.0,2413.0,6.9
15602,False,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",en,Grumpier Old Men,11.7129,1995-12-22,0.0,92.0,6.5
31357,False,16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Waiting to Exhale,3.859495,1995-12-22,81452156.0,34.0,6.1
11862,False,0,"[{'id': 35, 'name': 'Comedy'}]",en,Father of the Bride Part II,8.387519,1995-02-10,76578911.0,173.0,5.7
949,False,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,Heat,17.924927,1995-12-15,187436818.0,1886.0,7.7
11860,False,58000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,Sabrina,6.677277,1995-12-15,0.0,141.0,6.2
45325,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,Tom and Huck,2.561161,1995-12-22,0.0,45.0,5.4
9091,False,35000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,Sudden Death,5.23158,1995-12-22,64350171.0,174.0,5.5
710,False,58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,GoldenEye,14.686036,1995-11-16,352194034.0,1194.0,6.6
9087,False,62000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,The American President,6.318445,1995-11-17,107879496.0,199.0,6.5
12110,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",en,Dracula: Dead and Loving It,5.430331,1995-12-22,0.0,210.0,5.7
21032,False,0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",en,Balto,12.140733,1995-12-22,11348324.0,423.0,7.1
10858,False,44000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",en,Nixon,5.092,1995-12-22,13681765.0,72.0,7.1
1408,False,98000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,Cutthroat Island,7.284477,1995-12-22,10017322.0,137.0,5.7
524,False,52000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,Casino,10.137389,1995-11-22,116112375.0,1343.0,7.8
4584,False,16500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Sense and Sensibility,10.673167,1995-12-13,135000000.0,364.0,7.2
5,False,4000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",en,Four Rooms,9.026586,1995-12-09,4300000.0,539.0,6.5
9273,False,30000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",en,Ace Ventura: When Nature Calls,8.205448,1995-11-10,212385533.0,1128.0,6.1
11517,False,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,Money Train,7.337906,1995-11-21,35431113.0,224.0,5.4
8012,False,30250000,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,Get Shorty,12.669608,1995-10-20,115101622.0,305.0,6.4
1710,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,Copycat,10.701801,1995-10-27,0.0,199.0,6.5
9691,False,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,Assassins,11.065939,1995-10-06,30303072.0,394.0,6.0
12665,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,Powder,12.133094,1995-10-27,0.0,143.0,6.3
451,False,3600000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Leaving Las Vegas,10.332025,1995-10-27,49800000.0,365.0,7.1
16420,False,0,"[{'id': 18, 'name': 'Drama'}]",en,Othello,1.845899,1995-12-15,0.0,33.0,7.0
9263,False,12000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,Now and Then,8.681325,1995-10-20,27400000.0,91.0,6.6
17015,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Persuasion,2.228434,1995-09-27,0.0,36.0,7.4
902,False,18000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",fr,La Cité des Enfants Perdus,9.822423,1995-05-16,1738611.0,308.0,7.6
37557,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",zh,摇啊摇，摇到外婆桥,1.100915,1995-04-30,0.0,17.0,6.5
9909,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,Dangerous Minds,9.481338,1995-08-11,180000000.0,249.0,6.4
63,False,29500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",en,Twelve Monkeys,12.297305,1995-12-29,168840000.0,2470.0,7.4
78802,False,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",fr,"Guillaumet, les ailes du courage",0.745542,1996-09-18,0.0,4.0,6.8
9598,False,30000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,Babe,14.404764,1995-07-18,254134910.0,756.0,6.0
47018,False,0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Carrington,1.493361,1995-11-08,0.0,16.0,6.4
687,False,11000000,"[{'id': 18, 'name': 'Drama'}]",en,Dead Man Walking,6.891317,1995-12-29,39363635.0,350.0,7.3
139405,False,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,Across the Sea of Time,0.114469,1995-10-20,0.0,2.0,3.5
33689,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",en,It Takes Two,7.777735,1995-11-17,0.0,149.0,6.1
9603,False,12000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Clueless,9.882383,1995-07-19,0.0,828.0,6.9
34615,False,0,"[{'id': 18, 'name': 'Drama'}]",en,"Cry, the Beloved Country",0.894647,1995-12-15,676525.0,13.0,6.7
31174,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",en,Richard III,4.561387,1995-12-29,0.0,50.0,6.9
11443,False,10000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,Dead Presidents,9.87957,1995-10-06,0.0,80.0,6.6
35196,False,19000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Restoration,10.979269,1995-12-29,0.0,30.0,6.3
9312,False,18000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",en,Mortal Kombat,10.870138,1995-08-18,122195920.0,452.0,5.4
577,False,20000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",en,To Die For,10.448481,1995-05-20,21284514.0,177.0,6.7
11861,False,10000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,How To Make An American Quilt,4.485958,1995-10-06,23574130.0,38.0,6.5
807,False,33000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,Se7en,18.45743,1995-09-22,327311859.0,5915.0,8.1
10530,False,55000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,Pocahontas,13.280069,1995-06-14,346079773.0,1509.0,6.7
8391,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,When Night Is Falling,3.302524,1995-05-05,0.0,10.0,5.9
629,False,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,The Usual Suspects,16.302466,1995-07-19,23341568.0,3334.0,8.1
117164,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",en,Guardian Angel,0.595949,1994-11-22,0.0,3.0,6.3
11448,False,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,Mighty Aphrodite,15.899134,1995-09-13,6700000.0,145.0,6.7
49133,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",it,Lamerica,1.361286,1994-01-01,0.0,11.0,7.7
26441,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,The Big Green,5.982764,1995-09-29,0.0,41.0,5.2
97406,False,0,"[{'id': 18, 'name': 'Drama'}]",en,Georgia,4.093443,1995-05-19,0.0,15.0,6.1
124057,False,0,[],en,Kids of the Round Table,0.307075,1997-07-08,0.0,1.0,3.0
9089,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Home for the Holidays,8.416802,1995-11-02,17519169.0,39.0,6.3
11010,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",it,Il postino,10.168437,1994-09-22,0.0,181.0,7.6
99040,False,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",fr,Le confessionnal,0.120789,1995-09-29,0.0,2.0,6.5
11359,False,45000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,The Indian in the Cupboard,10.673296,1995-07-14,0.0,136.0,5.9
17182,False,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,Eye for an Eye,4.733526,1996-01-12,0.0,65.0,5.8
2054,False,0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,Mr. Holland's Opus,7.137117,1995-12-29,106269971.0,115.0,6.9
10607,False,0,"[{'id': 35, 'name': 'Comedy'}]",en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,1996-01-12,0.0,192.0,6.2
19760,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,Two If by Sea,2.174487,1996-01-12,0.0,14.0,4.5
9536,False,15000000,"[{'id': 35, 'name': 'Comedy'}]",en,Bio-Dome,6.387469,1996-01-12,0.0,110.0,4.4
11525,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,Lawnmower Man 2: Beyond Cyberspace,2.49535,1996-01-12,2409225.0,32.0,2.8
40628,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,Two Bits,4.046208,1995-10-22,0.0,11.0,5.4
4482,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",fr,Gazon maudit,2.518051,1995-02-08,0.0,43.0,6.0
10634,False,3500000,"[{'id': 35, 'name': 'Comedy'}]",en,Friday,14.56965,1995-04-26,28215918.0,513.0,7.0
755,False,19000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,From Dusk Till Dawn,15.339153,1996-01-19,25836616.0,1644.0,6.9
11859,False,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",en,Fair Game,5.912223,1995-11-03,11534477.0,54.0,4.1
28387,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Kicking and Screaming,3.367276,1995-10-06,718490.0,36.0,7.0
48750,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",fr,Les misérables,1.479446,1995-03-22,0.0,8.0,6.6
20927,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Bed of Roses,10.412194,1996-01-26,19030691.0,27.0,5.1
36929,False,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,Big Bully,2.936443,1996-01-26,2042530.0,16.0,3.9
9102,False,20000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",en,Screamers,12.758848,1995-09-08,5781885.0,154.0,6.1
124626,False,0,"[{'id': 99, 'name': 'Documentary'}]",en,Nico Icon,0.133893,1995-02-18,0.0,3.0,7.3
27526,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,The Crossing Guard,5.756462,1995-11-15,0.0,74.0,6.1
9623,False,44000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,The Juror,6.010579,1996-02-02,0.0,91.0,5.5
46785,False,0,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",fa,بادکنک سفید,1.196256,1995-01-01,0.0,20.0,7.5
400,False,8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,Things to Do in Denver When You're Dead,4.486179,1995-12-01,529766.0,87.0,6.7
880,False,900000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",nl,Antonia,2.030174,1995-09-12,0.0,26.0,7.2
146599,False,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",en,Once Upon a Time... When We Were Colored,0.252287,1996-01-26,0.0,2.0,4.5
188588,False,0,[],en,Last Summer in the Hamptons,0.531159,1995-11-22,0.0,0.0,0.0
8447,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Angels and Insects,2.15166,1995-09-10,0.0,17.0,6.3
10534,False,38000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",en,White Squall,9.568604,1996-02-02,10300000.0,86.0,6.3
17414,False,16000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,Dunston Checks In,4.814825,1996-01-12,0.0,59.0,5.1
13997,False,0,"[{'id': 35, 'name': 'Comedy'}]",en,Black Sheep,8.963037,1996-02-01,32.0,124.0,6.0
2086,False,8169363,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,Nick of Time,6.848591,1995-11-22,8175346.0,190.0,6.1
61548,False,0,"[{'id': 18, 'name': 'Drama'}]",en,The Journey of August King,0.411424,1995-09-14,0.0,3.0,6.7
9095,False,47000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",en,Mary Reilly,12.866139,1996-02-23,12379402.0,77.0,5.7
12158,False,14000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",en,Vampire in Brooklyn,9.071127,1995-10-26,19800000.0,113.0,4.5
9283,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Beautiful Girls,4.670562,1996-02-09,0.0,103.0,6.6
9208,False,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,Broken Arrow,14.957626,1996-02-09,150270147.0,459.0,5.7
40154,False,0,"[{'id': 35, 'name': 'Comedy'}]",en,A Midwinter's Tale,0.513391,1995-12-01,0.0,6.0,7.5
406,False,3000000,"[{'id': 18, 'name': 'Drama'}]",fr,La Haine,12.108196,1995-05-31,0.0,695.0,7.9
45549,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,Shopping,2.657647,1994-12-06,0.0,13.0,5.6
63076,False,0,"[{'id': 99, 'name': 'Documentary'}]",en,Heidi Fleiss: Hollywood Madam,0.638211,1995-12-27,0.0,4.0,6.8
11062,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,City Hall,4.807223,1996-02-16,0.0,67.0,6.0
13685,False,7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,Bottle Rocket,6.904831,1996-02-21,560069.0,285.0,6.8
